Task  0:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 39: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 40: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 41: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 42: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 43: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 44: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 45: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 46: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 47: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 48: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 49: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 50: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 51: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 52: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 53: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 54: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 55: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 56: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 57: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 58: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 59: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 60: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 61: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 62: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 63: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...

Task  0:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  1:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  2:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  3:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  4:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  5:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  6:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  7:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  8:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  9:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 10:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 11:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 12:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 13:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 14:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 15:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 16:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 17:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 18:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 19:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 20:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 21:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 22:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 23:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 24:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 25:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 26:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 27:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 28:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 29:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 30:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 31:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 32:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 33:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 34:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 35:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 36:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 37:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 38:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 39:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 40:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 41:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 42:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 43:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 44:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 45:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 46:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 47:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 48:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 49:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 50:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 51:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 52:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 53:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 54:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 55:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 56:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 57:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 58:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 59:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 60:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 61:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 62:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 63:  0  1  2  3  4  5  6  7  8  9 10 11 ...

Time elapsed manual implementation: 0.00084034 s
Task  0:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  1: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task  2: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task  3: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task  4: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task  5: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task  6: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task  7: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task  8: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task  9: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 10: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 11: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 12: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 13: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 14: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 15: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 16: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 17: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 18: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 19: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 20: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 21: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 22: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 23: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 24: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 25: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 26: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 27: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 28: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 29: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 30: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 31: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 32: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 33: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 34: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 35: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 36: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 37: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 38: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 39: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 40: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 41: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 42: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 43: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 44: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 45: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 46: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 47: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 48: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 49: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 50: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 51: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 52: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 53: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 54: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 55: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 56: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 57: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 58: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 59: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 60: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 61: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 62: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...
Task 63: -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 ...

Task  0:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  1:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  2:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  3:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  4:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  5:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  6:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  7:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  8:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task  9:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 10:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 11:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 12:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 13:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 14:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 15:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 16:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 17:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 18:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 19:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 20:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 21:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 22:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 23:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 24:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 25:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 26:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 27:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 28:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 29:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 30:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 31:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 32:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 33:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 34:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 35:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 36:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 37:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 38:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 39:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 40:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 41:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 42:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 43:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 44:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 45:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 46:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 47:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 48:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 49:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 50:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 51:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 52:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 53:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 54:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 55:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 56:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 57:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 58:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 59:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 60:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 61:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 62:  0  1  2  3  4  5  6  7  8  9 10 11 ...
Task 63:  0  1  2  3  4  5  6  7  8  9 10 11 ...

Time elapsed using Bcast: 0.00016356 s
